1,34
2,35
3,10
4,8
5,37
6,43
7,18
8,18
9,34
10,16
11,21
12,28
13,13
14,44
15,14
16,10
17,40
18,38
19,1
20,18
21,28
22,29
23,49
24,9
25,12
26,10
27,21
28,44
29,49
30,43
31,13
32,2
33,12
34,24
35,9
36,20
37,26
38,48
39,8
40,17
41,23
42,18
43,33
44,8
45,33
46,15
47,11
48,15
49,13
50,2
51,50
52,20
53,20
54,10
55,0
56,34
57,17
58,34
59,0
60,46
61,48
62,34
63,47
64,28
65,50
66,6
67,37
68,32
69,6
70,30
71,24
72,25
73,8
74,19
75,0
76,2
77,1
78,23
79,13
80,35
81,44
82,26
83,13
84,14
85,39
86,41
87,48
88,33
89,21
90,47
91,44
92,0
93,18
94,43
95,45
96,13
97,20
98,36
99,44
100,12
101,2
102,47
103,17
104,1
105,50
106,25
107,45
108,27
109,15
110,23
111,14
112,7
113,19
114,25
115,34
116,9
117,2
118,36
119,50
120,46
121,8
122,24
123,2
124,40
125,31
126,0
127,31
128,2
129,16
130,47
131,44
132,4
133,33
134,34
135,29
136,49
137,12
138,50
139,18
140,36
141,10
142,21
143,28
144,35
145,11
146,34
147,23
148,8
149,23
150,15
151,4
152,33
153,8
154,18
155,11
156,29
157,16
158,33
159,27
160,25
161,11
162,39
163,28
164,35
165,38
166,23
167,23
168,0
169,9
170,4
171,47
172,21
173,8
174,2
175,2
176,25
177,46
178,45
179,28
180,49
181,48
182,34
183,11
184,39
185,44
186,11
187,41
188,0
189,8
190,1
191,47
192,13
193,19
194,28
195,7
196,46
197,20
198,45
199,16
200,12
201,39
202,22
203,21
204,26
205,43
206,33
207,27
208,47
209,6
210,9
211,13
212,48
213,17
214,48
215,31
216,17
217,33
218,34
219,20
220,45
221,16
222,45
223,33
224,5
225,33
226,37
227,33
228,39
229,44
230,9
231,24
232,22
233,27
234,34
235,17
236,43
237,30
238,25
239,33
240,46
241,0
242,10
243,34
244,50
245,33
246,33
247,10
248,22
249,33
250,41
251,27
252,48
253,48
254,21
255,11
256,2
257,34
258,32
259,37
260,20
261,6
262,25
263,25
264,9
265,44
266,16
267,40
268,34
269,10
270,28
271,16
272,41
273,46
274,1
275,9
276,2
277,30
278,16
279,0
280,30
281,49
282,39
283,14
284,16
285,42
286,2
287,33
288,39
289,49
290,49
291,14
292,49
293,11
294,17
295,31
296,23
297,12
298,35
299,42
300,33
301,20
302,28
303,24
304,2
305,26
306,37
307,8
308,40
309,11
310,10
311,0
312,17
313,19
314,41
315,37
316,41
317,25
318,33
319,46
320,37
321,20
322,15
323,18
324,2
325,19
326,33
327,26
328,41
329,18
330,40
331,33
332,9
333,28
334,24
335,17
336,28
337,32
338,12
339,19
340,34
341,37
342,10
343,49
344,16
345,42
346,37
347,13
348,18
349,11
350,34
351,18
352,21
353,41
354,25
355,15
356,28
357,37
358,26
359,28
360,17
361,2
362,8
363,44
364,33
365,50
366,34
367,8
368,42
369,11
370,14
371,50
372,26
373,7
374,17
375,21
376,31
377,41
378,12
379,48
380,27
381,34
382,7
383,15
384,8
385,12
386,45
387,9
388,36
389,50
390,27
391,46
392,25
393,47
394,48
395,38
396,26
397,39
398,49
399,45
400,4
401,35
402,27
403,16
404,18
405,30
406,13
407,4
408,18
409,39
410,41
411,11
412,6
413,28
414,23
415,19
416,18
417,0
418,12
419,3
420,19
421,0
422,31
423,3
424,14
425,43
426,2
427,44
428,22
429,34
430,28
431,12
432,39
433,23
434,19
435,4
436,7
437,13
438,36
439,31
440,14
441,26
442,17
443,28
444,40
445,9
446,36
447,10
448,23
449,39
450,13
451,2
452,4
453,6
454,1
455,2
456,37
457,35
458,48
459,7
460,39
461,11
462,42
463,21
464,15
465,22
466,30
467,34
468,13
469,21
470,23
471,8
472,33
473,41
474,46
475,45
476,43
477,3
478,30
479,28
480,46
481,16
482,26
483,39
484,50
485,48
486,7
487,40
488,7
489,42
490,17
491,8
492,2
493,28
494,40
495,43
496,28
497,19
498,0
499,36
500,40
501,2
502,41
503,27
504,37
505,50
506,35
507,35
508,48
509,11
510,0
511,45
512,1
513,8
514,19
